Category,Count,Percentage
Total patients,219,100.0
COAD,155,70.77625570776256
READ,64,29.22374429223744
Male,114,52.054794520547944
Female,105,47.94520547945205
Stage I,34,15.52511415525114
Stage II,71,32.42009132420091
Stage III,68,31.05022831050228
Stage IV,37,16.894977168949772
Unknown stage,9,4.10958904109589
MSS,152,69.40639269406392
MSI-H,52,23.74429223744292
MSI-L,15,6.8493150684931505
Has metabolomics,96,43.83561643835616
No metabolomics,123,56.16438356164384
OS events,80,36.5296803652968
OS censored,139,63.4703196347032
OS missing,11,5.0228310502283104
DFS events,95,43.37899543378995
DFS censored,92,42.00913242009132
DFS missing,32,14.61187214611872
