tissue_type,n_patients,pct_patients,n_active_reactions_in_model
Colon mucosa,142,64.84018264840182,6879
Small intestine,55,25.11415525114155,5691
Kidney,2,0.91324200913242,2651
Brain,2,0.91324200913242,5495
Gastric mucosa,2,0.91324200913242,4939
Pancreas,2,0.91324200913242,5652
Heart,2,0.91324200913242,3335
Adipose,2,0.91324200913242,6350
Muscle,2,0.91324200913242,5999
Duodenal mucosa,2,0.91324200913242,6289
Liver,2,0.91324200913242,7313
Adipose tissue,1,0.45662100456621,4380
Kidney tubule,1,0.45662100456621,2499
Macrophage,1,0.45662100456621,6917
Lung,1,0.45662100456621,5281
